waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
121,-102.287187000228,-375.456610862714,28.5319002596817,A2256W000748,60468,-102.28718700022826,-375.4566108627143,28.531900259681706,3.82374993451825e-13
122,-102.04239887523,-375.020632188417,28.5307300383669,A2256W000748,60469,-102.04239887522981,-375.0206321884172,28.530730038366926,3.0212691549237007e-13
123,-101.800321754073,-374.583144312369,28.5289905778483,A2256W000748,60470,-101.80032175407273,-374.58314431236874,28.528990577848262,3.529903082259756e-13
124,-101.558244632916,-374.14565643632,28.5272511173296,A2256W000748,60471,-101.55824463291565,-374.1456564363203,28.527251117329598,4.549693413077341e-13
125,-101.316167511759,-373.708168560272,28.5255116568109,A2256W000748,60472,-101.31616751175856,-373.7081685602718,28.525511656810934,4.723906993886732e-13
126,-101.074090390601,-373.270680684223,28.5237721962923,A2256W000748,60473,-101.07409039060148,-373.27068068422335,28.52377219629227,5.914174621092574e-13
127,-100.832013269444,-372.833192808175,28.5220327357736,A2256W000748,60474,-100.8320132694444,-372.8331928081749,28.522032735773607,4.1382633578908315e-13
128,-100.589936148287,-372.395704932126,28.5202932752549,A2256W000748,60475,-100.58993614828732,-372.3957049321264,28.520293275254943,5.149351787847944e-13
129,-100.34785902713,-371.958217056078,28.5185538147363,A2256W000748,60476,-100.34785902713024,-371.95821705607796,28.51855381473628,2.481819080425819e-13
130,-100.105781905973,-371.520729180029,28.5168143542176,A2256W000748,60477,-100.10578190597316,-371.5207291800295,28.516814354217615,5.349400630825218e-13
131,-99.8555024503328,-371.087878632626,28.5175874627007,A2256W000748,60478,-99.85550245033278,-371.08787863262586,28.517587462700742,1.1718571004216928e-13
132,-99.6052229946924,-370.655028085222,28.5183605711839,A2256W000748,60479,-99.6052229946924,-370.6550280852222,28.51836057118387,2.2737367544323206e-13
133,-99.354943539052,-370.222177537819,28.519133679667,A2256W000748,60480,-99.35494353905202,-370.2221775378186,28.519133679666997,3.981576164199481e-13
134,-99.1046640834116,-369.789326990415,28.5199067881501,A2256W000748,60481,-99.10466408341163,-369.78932699041496,28.519906788150124,6.355287432313019e-14
135,-98.8543846277713,-369.356476443011,28.5206798966333,A2256W000748,60482,-98.85438462777125,-369.35647644301133,28.52067989663325,3.43714720612747e-13
136,-98.6041051721309,-368.923625895608,28.5214530051164,A2256W000748,60483,-98.60410517213087,-368.9236258956077,28.521453005116378,2.8563464471519893e-13
137,-98.3538257164905,-368.490775348204,28.5222261135995,A2256W000748,60484,-98.35382571649049,-368.49077534820407,28.522226113599505,5.859285502108464e-14
138,-98.1035462608501,-368.0579248008,28.5229992220826,A2256W000748,60485,-98.10354626085011,-368.05792480080044,28.522999222082632,4.549693413077341e-13
139,-97.8608402799202,-367.620787457168,28.5251785850801,A2256W000748,60486,-97.86084027992021,-367.62078745716826,28.525178585080056,2.8457214390443806e-13
140,-97.6181342989903,-367.183650113536,28.5273579480775,A2256W000748,60487,-97.61813429899031,-367.1836501135361,28.52735794807748,1.1457157353758233e-13
141,-97.3754283180604,-366.746512769904,28.5295373110749,A2256W000748,60488,-97.37542831806041,-366.7465127699039,28.529537311074904,5.859285502108464e-14
142,-97.1327223371305,-366.309375426272,28.5317166740723,A2256W000748,60489,-97.13272233713052,-366.30937542627174,28.531716674072328,2.8457214390443806e-13
143,-96.8900163562006,-365.87223808264,28.5338960370698,A2256W000748,60490,-96.89001635620062,-365.87223808263957,28.533896037069752,4.549693413077341e-13
144,-96.6473103752707,-365.435100739007,28.5360754000672,A2256W000748,60491,-96.64731037527072,-365.4351007390074,28.536075400067176,3.981576164199481e-13
145,-96.4046043943408,-364.997963395375,28.5382547630646,A2256W000748,60492,-96.40460439434082,-364.9979633953752,28.5382547630646,2.2914314707516465e-13
